consulta	nombre	categoria	direccion	pagina_web	telefono
mall	Centro Comercial Patio las Terrazas	Centros Comerciales	Constitución 664 Chillán - VIII Región	NA	(56)422226838
mall	Schuler & Asociados E.I.R.L.	Electricidad Industrial	21 de Mayo 1250 Tocopilla - II Región	www.schulerasociados.cl	(56)552816587
mall	Ingeniería Eléctrica Lumin Spa	Ingenieria Electrica	Michimalongo 0259 Rancagua - VI Región	www.ingenieriaelectricaluminspa.cl	(56)990890337
mall	Construcciones de la Fuente	Constructores	No Publica Dirección : MAIPÚ - RM	www.construccionesdelafuente.cl	(56)985107264
mall	Dieco S.A	Ingenieria Electrica	Callao 3037 LAS Condes - RM	www.dieco.cl	(56)974518756
mall	P&P Construcción en General Aislación Térmica	Constructores	Francisco Pizarro 01 Padre las Casas - IX Región	NA	(56)976278858
mall	Llanquileo Construcciones	Constructores	Unión 4525 LA Florida - RM	www.llanquileoconstrucciones.com	(56)974252620
mall	H y R Constructora	Constructores	Walker 980 SANTIAGO - RM	www.hyrconstructora.cl	(56)986597101
mall	Ingebel	Constructores	O'Carrol 081 Rancagua - VI Región	NA	(56)981884432
mall	Bioelectric	Electricidad Industrial	No Publica Dirección : Chillán - VIII Región	www.bioelectricingenieria.cl	(56)985651766
mall	Hg Ingeniería Eléctrica LTDA.	Instalaciones Electricas	Trinidad Ramírez 0660 LA Cisterna - RM	www.hgingenieriaelectrica.cl	(56)999596080
mall	Robcarlei Instalaciones Eléctricas	Instalaciones Electricas	Cartwright 1127 LO Barnechea - RM	NA	(56)996713573
mall	Sg LTDA.	Instalaciones Electricas	General Gana 769 SANTIAGO - RM	www.sgltda.cl	(56)225562353
mall	Soc. Comercial Santa Gloria LTDA.	Proveedores De Frutas Y Verduras	No Publica Dirección : La Serena - IV Región	NA	(56)977568386
mall	Inelec - Ingeniería Eléctrica	Electricistas	Av. Los Alpes 388 Rancagua - VI Región	www.inelecingenieriaelectrica.cl	(56)992283488
mall	Ips Electrónica LTDA.	Electronica Industrial	Rogelio Ugarte 1474 SANTIAGO - RM	www.ipselectronica.cl	(56)976989714
mall	Electric Avs	Electricistas	No Publica Dirección : Aysén - XI Región	NA	(56)957810554
mall	Barraca de Fierro Bijit	Materiales Para Construccion	Doctor Salas Mecker 1985 Quilpué - V Región	www.bijit.cl	(56)322965431
mall	P&P Electricidad Spa	Electricistas	No Publica Dirección . Quilpué - V Región	www.pypelectricidadspa.cl	(56)946684029
mall	Inelec	Electricidad Industrial	Pje Mermoz 3522 Arica - XV Región	NA	(56)989522387
mall	N&S Ingenieria Eléctrica	Electricistas	Proyectada 1 1836 Coquimbo - IV Región	www.nyselectricidad.cl	(56)985499399
mall	Cortinas Metálicas Óscar Jamett C.	Cortinas Metalicas	Manuel Rodríguez 727 Valparaíso - V Región	www.cortinasmetalicasvalparaiso.cl	(56)991213608
mall	Scandatex	Papel Mural	Av. Francisco Bilbao 3775 Local 7 PROVIDENCIA - RM	www.scandatex.cl	(56)222098539
mall	Decobal	Cortinas	No Publica Dirección : SAN Bernardo - RM	NA	(56)954056911
mall	Estay Ingenería	Ingenieria De Proyectos	Nuestra Señora del R 2 San Felipe - V Región	www.estayingenieria.cl	(56)950897520
mall	Ma-Seg	Mangueras	Av. Vicuña Mackenna 7255 LA Florida - RM	www.ma-seg.cl	(56)989078496
mall	Hostal Mary Ruka	Hoteles	Pje Príncip de Gales 0735 Temuco - IX Región	www.maryruka.cl	(56)452409310
mall	Distribuidora Diplas	Plasticos	Av. Aníbal Pinto 1483 Coquimbo - IV Región	www.distribuidoradiplas.cl	(56)512263445
mall	Vidriería y Aluminios Alumdo	Vidrios	Av. Concón-Reñaca 195 Loc. 193 Concón - V Región	NA	(56)985723134
mall	Mallas de Seguridad Carlos Morales	Mallas Metalicas	Av San Francisco 6648 LO Prado - RM	NA	(56)950769877
mall	Terraweld	Mallas Metalicas	Av Los Cerrillos 287 CERRILLOS - RM	www.terraweld.cl	(56)225392020
mall	Fabrica de Mallas Luis Acuña	Mallas Metalicas	Maipú 174 Concepción - VIII Región	www.fatemet.cl	(56)998390732
mall	Mallas Tejidas y Extruidas Infopack	Mallas Plasticas	Av Lo Espejo 860 MAIPÚ - RM	www.infopack.cl	(56)225576507
mall	Acmanet S.A.	Mallas De Alambre	El Milagro 455 MAIPÚ - RM	HTTPWWW.ACMANET.CL	(56)225356766
mall	Fabrica de Confecciones Bolsas de Malla	Mallas Plasticas	Cueto 1021 SANTIAGO - RM	NA	(56)222223539
mall	Comercial Out Fly	Mallas Mosquiteras	Rogelio Ugarte 1862 SANTIAGO - RM	www.outfly.cl	(56)979593618
mall	Reysan	Mallas Metalicas	Ureta Cox 541 SAN Miguel - RM	www.reysan-chile.cl	(56)225186700
mall	Protekta	Mallas Plasticas	La Cordillera 21 LAMPA - RM	www.protekta.cl	(56)229527966
mall	Malla Total	Mallas Plasticas	García Reyes 999 SANTIAGO - RM	www.mallatotal.cl	(56)981408779
mall	Mosquiteros Lipangue	Mallas Mosquiteras	Pje La Parcela 37 BUIN - RM	www.mosquiteroslipangue.cl	(56)998644942
mall	Pro-Mallas	Mallas Metalicas	Pje Estero Chaica 0125 QUILICURA - RM	www.pro-mallas.com	(56)989396764
mall	Promallas	Mallas De Alambre	Pje Elisa Saval Prados 025 QUILICURA - RM	NA	(56)990443606
mall	Mallas Infantiles Huircaleo	Mallas Plasticas	Las Araucarias 15 Vilcún - IX Región	www.mallasproteccioninfantil.cl	(56)977713631
mall	Todo Mallas	Mallas Plasticas	Mariano Latorre 4206 La Serena - IV Región	NA	(56)987680293
mall	Reno Hogar	Mallas Plasticas	1º de Mayo 55 SAN Bernardo - RM	www.serviciosrenohogar.cl	(56)974044257
mall	Balcon Seguro	Mallas Plasticas	Av del Mar 4780 La Serena - IV Región	NA	(56)971357714
mall	Mallas Invisibles Leon	Mallas Plasticas	Pje Las Malvas 505 HUECHURABA - RM	www.mallasinvisiblesleon.cl	(56)973176228
mall	Mallas Brillay Seguridad	Mallas Plasticas	Rep. de E.E.U.U. 5514 HUECHURABA - RM	NA	(56)986805881
mall	Mallas de Seguridad para Balcónes	Mallas Metalicas	Pje José Victorino Lastarria 601 PUENTE Alto - RM	NA	(56)987873609
mall	Mallas Raschel	Mallas Plasticas	Av Apoquindo 6415 LAS Condes - RM	www.mallaraschel.cl	(56)229546208
mall	Mayas de Suguridad Digs	Mallas Plasticas	Benito Rebolledo 3047 MACUL - RM	www.mayasdeseguridaddigs.cl	(56)979429939
mall	Mallas - Service	Mallas Metalicas	Av Borde Norte 4367 LAMPA - RM	NA	(56)226240430
mall	Mallas M.O	Mallas Plasticas	Juan Guzmán Cruchaga 4759 MACUL - RM	NA	(56)977497310
mall	Cercos y Mallas Acma For	Mallas Plasticas	Av Manuel Antonio Matta 0537 QUILICURA - RM	www.mallasacmafor.cl	(56)997801382
mall	Mallas de Protección J-F	Mallas Metalicas	Martínez de Rozas 2576 SANTIAGO - RM	NA	(56)979130441
mall	Mallas Sanchez	Mallas Plasticas	Av Carrascal 6254 QUINTA Normal - RM	NA	(56)998206607
mall	Mallas Dz	Mallas De Alambre	No Publica Dirección 01 LA Pintana - RM	NA	(56)961825809
mall	Mallas Silvera	Mallas Plasticas	Rosas 3147 SANTIAGO - RM	NA	(56)981808464
mall	Mallas y Cortinas	Mallas Metalicas	Av Vicuña Mackenna P 6436 LA Florida - RM	NA	(56)963716955
mall	Segumallas	Mallas De Alambre	Pje Isla Nor 462 PUDAHUEL - RM	www.segumallas.cl/	(56)954197751
mall	Asesoria y Proyectos	Mallas Tomatierra	Necochea 630 LO Prado - RM	www.intelegonzalez.cl	(56)227730121
mall	Seguridmallas la Serena	Mallas Metalicas	Benavente 1470 La Serena - IV Región	www.mallasdeseguridadlaserena.cl	(56)512214452
mall	Termo Pvc Ltda	Mallas Metalicas	Pje El Escantillón 1960 PUENTE Alto - RM	NA	(56)962749605
mall	Mallas de Proteccion Anticaidas	Mallas De Alambre	Mercedes Fontecilla 3060 PEDRO Aguirre Cerda - RM	NA	(56)990565140
mall	Pypmallas	Mallas Metalicas	2 4555 Iquique - I Región	NA	(56)572313850
mall	Mallas Te Cuida	Mallas Plasticas	P. Juan de Vascones 886 Concepción - VIII Región	NA	(56)984994687
mall	Mosquitero Ecosistema Screen Limitada	Mallas Mosquiteras	Pje Eucaliptus 1 1271 MAIPÚ - RM	NA	(56)223247964
mall	Mallas J y J	Mallas Metalicas	Edison 5017 QUINTA Normal - RM	www.mallasjyj.cl	(56)956132643
mall	Delmu	Mallas De Alambre	Grajales 3037 SANTIAGO - RM	www.empresasdelporte.cl	(56)226894748
mall	Balcon Reforzado	Mallas Plasticas	Av Diagonal Paraguay 481 SANTIAGO - RM	www.balconreforzado.cl	(56)979009043
mall	Sanchez Rojas Leonel Moises Ivan y Otro	Mallas Metalicas	La Pirámide 0 PADRE Hurtado - RM	NA	(56)999864071
mall	Rgm Mallas de Alambre	Mallas De Alambre	Av Simón Bolívar 579 Valparaíso - V Región	www.rgm.cl	(56)224893900
mall	Agroservices	Mallas Plasticas	Chayavientos 2922 PUENTE Alto - RM	www.agroservices.cl	(56)222653822
mall	Camonbel	Mallas Plasticas	Pje San Lorenzo 53 LA Reina - RM	NA	(56)995914804
mall	Mallas de Seguridad Chile	Mallas Metalicas	Mar del Norte 138 MAIPÚ - RM	www.mallas-chile.cl	(56)224195246
mall	Rgm Mallas de Alambre	Mallas De Alambre	Av Manuel Antonio Matta 302 SANTIAGO - RM	www.rgm.cl	(56)224893900
mall	Mallas Protekchile	Mallas Plasticas	Av Valparaíso 059 Viña del Mar - V Región	NA	(56)988835965
mall	Multimallas Morales	Mallas Plasticas	Av Huelén 1511 CERRO Navia - RM	www.mallasviveseguro.cl	(56)988943055
mall	Mallas de Seguridad Hermanos Cabrera	Mallas Plasticas	Pje Río Turbio 3125 PUENTE Alto - RM	NA	(56)992225135
mall	Fiplas	Mallas Plasticas	Víctor Manuel 1660 SANTIAGO - RM	www.mallasplasticas.cl	(56)228259006
mall	Mallas Balcon	Mallas Plasticas	Arturo Prat 230 LA Cisterna - RM	www.mallasbalcon.cl	(56)223029892
mall	Comercial Apache	Mallas Plasticas	Los Torneros 645 LA Reina - RM	www.comercialapache.cl	(56)222759236
mall	Mall	Ciber Cafe	Alonso Rodríguez 2978 SAN Bernardo - RM	NA	(56)228412650
mall	Mall Pumay	Inmobiliarias	Pje Pinochet Lebrún 84 MAIPÚ - RM	www.pumay.cl	(56)225314459
mall	Mall Chino	Abarrotes	Pje Las Amapolas 0149 Rancagua - VI Región	NA	(56)722651203
mall	Mall las Americas	Centros Comerciales	Av Héroes de la Concepción 2555 Iquique - I Región	www.malllasamericas.cl	(56)572399600
mall	Mall Connection	Accesorios Para Telefonos Celulares	Av Liber B.O'Higgins 241 Concepción - VIII Región	www.mallconneccion.cl	(56)412227164
mall	Mall de la Kote	Varios	Perpetua Freire 736 LA Florida - RM	NA	(56)952066108
mall	Mall Mirage	Centros Comerciales	Torremolinos 410 Temuco - IX Región	www.mallmirage.cl	(56)452248567
mall	Corea Mall	Centros Comerciales	A. López de Bello 327 RECOLETA - RM	NA	(56)227323123
mall	Mall Plaza Real	Centros Comerciales	Av Colipí 484 Copiapó - III Región	www.plazarealcopiapo.cl	(56)522213839
mall	Mall del Centro Rancagua	Centros Comerciales	Cuevas 483 Rancagua - VI Región	www.malldelcentro.cl	(56)722220888
mall	Mall Plaza Antofagasta	Arriendo De Muebles	Cap. A. Prat Chacón 461 Antofagasta - II Región	www.mallplaza.cl	(56)552533400
mall	Mall Vivo Panoramico	Centros Comerciales	Av Nueva Providencia 2155 PROVIDENCIA - RM	NA	(56)226112005
mall	Mall Mirador de Concepcion	Centros Comerciales	Barros Arana 1068 Concepción - VIII Región	www.mallcenter.cl	(56)413163160
mall	Mall Casa Costanera	Centros Comerciales	Nueva Costanera 3900 VITACURA - RM	NA	(56)224862050
mall	Mall Center Curico	Centros Comerciales	Av Lib B.O'Higgins 201 Curicó - VII Región	NA	(56)752552400
mall	Mall Paseo Costanera	Centros Comerciales	Illapel 10 Puerto Montt - X Región	www.pasmar.cl	(56)652255528
mall	Mall Plaza de los Rios	Centros Comerciales	Arauco 561 Valdivia - XIV Región	www.plazadelosrios.cl	(56)632249520
mall	Mall Plaza Sur	Centros Comerciales	Av Pdte J Alessan R 20040 SAN Bernardo - RM	www.mallplaza.cl	(56)225857000
mall	Mall Paseo del Mar	Tiendas Por Departamento	Urmeneta 580 Puerto Montt - X Región	NA	(56)652272067
mall	Mall Puertas del Mar	Centros Comerciales	Av Francisco de Aguirre 5250 La Serena - IV Región	www.mallpuertadelmar.cl	(56)512218602
mall	Mall Paseo Quilin	Centros Comerciales	Mar Tirreno 3349 PEÑALOLÉN - RM	www.paseoquilin.cl	(56)229470030
mall	Easton Outlet Mall	Centros Comerciales	Av Pdte Edo Frei M 9709 QUILICURA - RM	www.eastonmall.cl	(56)227335550
mall	Mall Alto las Condes	Centros Comerciales	Av Pdte Kennedy 9001 LAS Condes - RM	NA	(56)222996965
mall	Mall Universo Chino	Centros Comerciales	SANTIAGO - RM	NA	(56)977669835
mall	Mall Plaza del Sol	Centros Comerciales	Diego Portales 822 Quilpué - V Región	NA	(56)322722020
mall	Expresos Plaza del Mall S a	Buses Rurales	Av Manuel Rodríguez 3240 Chiguayante - VIII Región	NA	(56)412350725
mall	Mall Parma Plaza China	Centros Comerciales	San Alfonso 299 SANTIAGO - RM	NA	(56)226895438
mall	Mall Chino Jack Boy'S	Restaurantes Comidas Rapidas	Alonso de Ovalle 1060 SANTIAGO - RM	NA	(56)229592433
mall	Mall Santa Lucia S.A.	Administracion De Propiedades	Av Santa Rosa 20 SANTIAGO - RM	NA	(56)226329185
mall	Paradero de Taxis Mall del Centro	Taxis	Av Las Araucarias 443 Talcahuano - VIII Región	NA	(56)412237266
mall	Restaurante Bbb Mall Sport	Restaurantes	Av Las Condes 13451 LAS Condes - RM	www.mallsport.cl	(56)229556580
mall	Restaurant Platon Mall Plaza el Trebol	Restaurantes	Av Jorge Alessandri 3177 Talcahuano - VIII Región	NA	(56)412489308
mall	Sala Teatro la Troupe Mall Florida Center	Teatros	Av Vicuña Mackenna Oriente 6100 LA Florida - RM	www.troupe.cl	(56)227555223
